Student_ID,Gender,Province,School_Type,Parent_Expectation,Stream,Khmer,English,Math,Physics,Chemistry,Biology,History,Geography,Morality,Earth,Interest_Tech,Interest_Business,Interest_Health,Interest_Design,Interest_Law,Career_Goal,WorkPreference,Personality,Recommend_Major
S001861,Female,Battambang,Private,Engineer,Science,A,B,D,C,D,C,C,,,,Strong Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Healthcare,Field,Ambivert,Civil Engineering
S000354,Male,Pursat,Private,IT Specialist,Science,D,A,E,C,B,D,F,,,,Moderate Interest,Low Interest,Moderate Interest,Very Strong Interest,Moderate Interest,PublicSector,Team,Extrovert,Media and Communication
S001334,Female,Koh Kong,Public,Business Owner,Social-Science,A,D,D,,,,B,C,C,C,Moderate Interest,Low Interest,Low Interest,Strong Interest,Strong Interest,Corporate,Office,Extrovert,Public Health
S000906,Male,Ratanakiri,Private,Banker,Social-Science,B,B,C,,,,B,C,D,D,Moderate Interest,Strong Interest,Strong Interest,Strong Interest,Very Strong Interest,Entrepreneur,Field,Extrovert,Medicine
S001290,Male,Svay Rieng,Public,IT Specialist,Science,C,C,C,C,C,C,F,,,,Strong Interest,Very Strong Interest,Very Strong Interest,Moderate Interest,Very Low Interest,Entrepreneur,Field,Ambivert,Architecture
S001274,Male,Kep,Private,Government Officer,Science,D,D,D,C,C,C,A,,,,Very Strong Interest,Very Strong Interest,Moderate Interest,Low Interest,Low Interest,Creative,Field,Introvert,English Literature
S000939,Female,Prey Veng,Private,Teacher,Science,A,C,C,B,C,C,A,,,,Very Strong Interest,Moderate Interest,Strong Interest,Moderate Interest,Strong Interest,Corporate,Team,Ambivert,Nursing
S001732,Male,Banteay Meanchey,Private,Banker,Science,B,C,A,D,C,D,C,,,,Very Strong Interest,Strong Interest,Low Interest,Moderate Interest,Very Low Interest,Research,Office,Extrovert,Philosophy
S000066,Female,Pailin,Private,Accountant,Social-Science,C,A,D,,,,B,C,B,B,Low Interest,Moderate Interest,Very Low Interest,Moderate Interest,Very Low Interest,PublicSector,Office,Introvert,Computer Science
S001324,Female,Kratie,Private,Teacher,Social-Science,B,A,C,,,,D,C,C,C,Low Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Very Low Interest,Healthcare,Team,Ambivert,Software Engineering
S000057,Male,Pailin,Private,Government Officer,Science,D,B,B,D,B,C,B,,,,Very Strong Interest,Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Education,Field,Extrovert,Accounting
S001293,Male,Ratanakiri,Private,Engineer,Science,A,C,E,C,B,A,D,,,,Very Low Interest,Very Low Interest,Strong Interest,Very Low Interest,Moderate Interest,Healthcare,Independent,Introvert,Computer Science
S001119,Male,Svay Rieng,Private,Banker,Science,C,E,B,B,E,B,C,,,,Strong Interest,Low Interest,Low Interest,Moderate Interest,Moderate Interest,Corporate,Team,Introvert,Marketing
S000585,Male,Battambang,Public,Police Officer,Social-Science,D,C,E,,,,A,C,C,E,Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Strong Interest,Corporate,Office,Introvert,Marketing
S000375,Female,Mondulkiri,Public,Teacher,Science,C,B,B,A,B,C,B,,,,Low Interest,Very Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,Creative,Office,Ambivert,Architecture
S000276,Male,Preah Sihanouk,Public,Accountant,Science,C,D,A,C,B,C,B,,,,Moderate Interest,Moderate Interest,Very Low Interest,Moderate Interest,Strong Interest,Research,Team,Ambivert,Information Technology
S000747,Male,Takeo,Public,Teacher,Science,D,D,C,E,C,D,D,,,,Low Interest,Strong Interest,Strong Interest,Moderate Interest,Low Interest,Education,Independent,Extrovert,Economics
S000129,Male,Banteay Meanchey,NGO,Government Officer,Science,B,C,B,C,C,C,E,,,,Moderate Interest,Very Strong Interest,Very Strong Interest,Low Interest,Very Strong Interest,Corporate,Team,Ambivert,Data Science
S001647,Male,Battambang,Public,Business Owner,Science,C,B,D,B,C,C,C,,,,Very Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Low Interest,Healthcare,Office,Ambivert,Economics
S001853,Female,Kampong Cham,NGO,IT Specialist,Social-Science,B,D,A,,,,F,C,A,D,Low Interest,Strong Interest,Very Low Interest,Moderate Interest,Strong Interest,PublicSector,Team,Extrovert,Accounting
S000675,Female,Preah Vihear,Public,Business Owner,Science,B,B,C,C,C,C,C,,,,Very Strong Interest,Low Interest,Strong Interest,Moderate Interest,Low Interest,Healthcare,Independent,Introvert,Marketing
S001665,Male,Kep,Private,Government Officer,Social-Science,D,A,C,,,,E,B,C,C,Very Low Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Strong Interest,Creative,Team,Introvert,Economics
S001982,Female,Ratanakiri,Private,Doctor,Science,C,D,A,C,C,B,B,,,,Moderate Interest,Very Strong Interest,Very Low Interest,Very Low Interest,Strong Interest,Creative,Office,Extrovert,Data Science
S001084,Female,Kratie,Public,Teacher,Social-Science,B,A,E,,,,C,C,E,F,Very Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Very Strong Interest,Research,Team,Ambivert,Philosophy
S001923,Male,Preah Vihear,Public,Teacher,Science,B,D,D,D,A,A,C,,,,Very Strong Interest,Very Low Interest,Moderate Interest,Low Interest,Low Interest,Creative,Office,Extrovert,Information Technology
S000100,Male,Prey Veng,Public,Doctor,Social-Science,D,D,A,,,,A,C,A,D,Moderate Interest,Very Low Interest,Very Low Interest,Moderate Interest,Low Interest,Healthcare,Office,Ambivert,Software Engineering
S001180,Female,Siem Reap,NGO,Government Officer,Science,C,C,C,D,B,D,C,,,,Very Low Interest,Moderate Interest,Strong Interest,Low Interest,Very Low Interest,Corporate,Independent,Ambivert,Food Science and Technology
S000965,Female,Kep,Public,Accountant,Science,C,C,D,A,B,C,B,,,,Very Strong Interest,Low Interest,Moderate Interest,Low Interest,Strong Interest,PublicSector,Team,Ambivert,Electronics and Telecommunications
S000793,Female,Siem Reap,Public,Banker,Science,E,E,B,E,E,F,C,,,,Very Strong Interest,Strong Interest,Moderate Interest,Very Strong Interest,Low Interest,Corporate,Team,Introvert,Software Engineering
S000030,Female,Preah Vihear,Public,Government Officer,Social-Science,A,D,B,,,,C,C,A,A,Very Strong Interest,Very Strong Interest,Strong Interest,Moderate Interest,Low Interest,Creative,Independent,Introvert,International Relations
S000629,Male,Phnom Penh,Private,Business Owner,Social-Science,D,A,C,,,,D,B,D,B,Moderate Interest,Very Strong Interest,Moderate Interest,Very Strong Interest,Low Interest,Creative,Independent,Extrovert,Nursing
S000945,Male,Phnom Penh,Public,Engineer,Science,D,D,B,A,C,C,B,,,,Moderate Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Education,Independent,Ambivert,Tourism and Hospitality Management
S000573,Male,Siem Reap,Public,Teacher,Science,C,C,B,C,C,C,B,,,,Moderate Interest,Low Interest,Low Interest,Very Low Interest,Very Strong Interest,Healthcare,Office,Ambivert,Education
S000908,Male,Banteay Meanchey,Private,Doctor,Science,D,B,B,E,E,A,C,,,,Very Low Interest,Very Low Interest,Very Low Interest,Very Strong Interest,Very Strong Interest,Creative,Field,Extrovert,Architecture
S001081,Female,Kep,Private,Teacher,Science,B,A,B,A,C,C,D,,,,Strong Interest,Very Strong Interest,Low Interest,Moderate Interest,Strong Interest,Education,Team,Introvert,Agronomy
S000451,Female,Phnom Penh,Public,Teacher,Social-Science,D,D,C,,,,E,C,E,C,Moderate Interest,Strong Interest,Moderate Interest,Moderate Interest,Low Interest,Research,Office,Extrovert,Forestry
S001610,Female,Kampot,Public,Accountant,Social-Science,E,D,C,,,,D,E,B,F,Very Strong Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Low Interest,Entrepreneur,Office,Extrovert,Business Management
S001291,Male,Kampot,Public,IT Specialist,Social-Science,E,B,A,,,,B,B,B,B,Very Strong Interest,Strong Interest,Moderate Interest,Very Strong Interest,Strong Interest,Corporate,Team,Introvert,Agronomy
S001079,Male,Kampong Thom,Public,IT Specialist,Social-Science,B,B,C,,,,B,B,C,C,Very Low Interest,Low Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Healthcare,Independent,Introvert,Civil Engineering
